Date,Holiday
2022-01-01,New Year
2022-01-14,Makar Sankranti
2022-01-26,Republic Day
2022-03-18,Holi
2022-04-15,Good Friday
2022-05-03,Eid al-Fitr
2022-08-15,Independence Day
2022-10-02,Gandhi Jayanti
2022-10-24,Diwali
2022-12-25,Christmas

2023-01-01,New Year
2023-01-14,Makar Sankranti
2023-01-26,Republic Day
2023-03-08,Holi
2023-04-07,Good Friday
2023-04-22,Eid al-Fitr
2023-08-15,Independence Day
2023-10-02,Gandhi Jayanti
2023-11-12,Diwali
2023-12-25,Christmas

2024-01-01,New Year
2024-01-15,Makar Sankranti
2024-01-26,Republic Day
2024-03-25,Holi
2024-03-29,Good Friday
2024-04-11,Eid al-Fitr
2024-08-15,Independence Day
2024-10-02,Gandhi Jayanti
2024-11-01,Diwali
2024-12-25,Christmas

2025-01-01,New Year
2025-01-14,Makar Sankranti
2025-01-26,Republic Day
2025-03-14,Holi
2025-04-18,Good Friday
2025-03-31,Eid al-Fitr
2025-08-15,Independence Day
2025-10-02,Gandhi Jayanti
2025-10-21,Diwali
2025-12-25,Christmas

2026-01-01,New Year
2026-01-14,Makar Sankranti
2026-01-26,Republic Day
2026-03-03,Holi
2026-04-03,Good Friday
2026-03-20,Eid al-Fitr
2026-08-15,Independence Day
2026-10-02,Gandhi Jayanti
2026-11-09,Diwali
2026-12-25,Christmas
